D,Air Meter,Water Meter,Pressure,m_dot_g,m_dot_f,\delta,dP/dz
mm,Reading,Reading,kPa,g/s,g/s,µm,kPa/m
8.8,200,1100,114.5,5.99,18.3,94.1,-46.81
8.8,200,900,114.7,5.90,15.0,89.1,-39.68
8.8,200,700,111.6,5.66,11.7,85.9,-34.56
8.8,200,600,110.1,5.41,10.0,85.3,-29.66
8.8,200,500,109.2,5.29,8.3,85.0,-26.25
8.8,200,400,107.0,5.02,6.7,84.6,-22.4
8.8,200,320,106.4,4.88,5.3,83.5,-18.54
8.8,200,240,105.2,4.74,4.0,85.2,-15.55
8.8,180,1100,110.3,4.94,18.3,103.1,-40.99
8.8,180,900,110.7,4.92,15.0,99.8,-35.86
8.8,180,700,106.7,4.90,11.7,93.2,-31.97
8.8,180,600,107.6,4.59,10.0,94.0,-26.19
8.8,180,500,105.3,4.44,8.3,91.3,-22.38
8.8,180,400,103.4,4.29,6.7,90.2,-20.2
8.8,180,320,103.2,4.21,5.3,90.1,-15.98
8.8,180,240,101.9,4.10,4.0,90.5,-13.01
8.8,150,1100,109.3,4.10,18.3,117.1,-33.07
8.8,150,900,108.9,3.98,15.0,113.3,-29.03
8.8,150,700,107.2,3.87,11.7,108.3,-24.34
8.8,150,600,107.1,3.70,10.0,106.9,-19.95
8.8,150,500,106.0,3.62,8.3,104.3,-16.73
8.8,150,400,106.6,3.51,6.7,100.8,-13.64
8.8,150,320,104.8,3.44,5.3,100.7,-11.52
8.8,150,240,104.7,3.35,4.0,98.2,-9.3
8.8,130,1100,107.1,3.28,18.3,134.6,-26.85
8.8,130,900,106.7,3.21,15.0,128.1,-22.81
8.8,130,700,106.6,3.21,11.7,121.9,-18.22
8.8,130,600,105.1,3.08,10.0,119.6,-15.67
8.8,130,500,103.1,2.98,8.3,113.9,-13.8
8.8,130,400,102.9,2.90,6.7,110.6,-11.72
8.8,130,320,102.8,2.84,5.3,108.7,-9.56
8.8,130,240,102.7,2.80,4.0,106.4,-7.44
15.1,650,2900,123.8,19.3,48.3,107.7,-20.53
15.1,650,2500,120.7,18.9,41.7,106.7,-19.12
15.1,650,2100,117.7,18.3,35.0,105.4,-17.23
15.1,650,1800,116.3,18.1,30.0,105.0,-15.94
15.1,650,1500,114.9,17.8,25.0,104.4,-14.67
15.1,650,1200,113.5,17.4,20.0,103.1,-13.36
15.1,650,900,112.3,17.0,15.0,102.6,-11.41
15.1,650,700,110.8,16.8,11.7,102.3,-10.37
15.1,650,500,109.7,16.1,8.3,106.6,-7.88
15.1,600,2900,120.8,17.3,48.3,120.4,-18.81
15.1,600,2500,117.8,16.9,41.7,120.6,-16.95
15.1,600,2100,116.4,16.4,35.0,117.9,-15.54
15.1,600,1800,115.0,16.2,30.0,115.9,-14.44
15.1,600,1500,113.6,15.9,25.0,115.8,-13.16
15.1,600,1200,112.3,15.6,20.0,113.3,-11.57
15.1,600,900,109.2,15.1,15.0,112.4,-9.99
15.1,600,700,107.8,14.9,11.7,112.0,-8.7
15.1,600,500,106.6,14.4,8.3,114.0,-6.6
15.1,560,2900,117.7,15.9,48.3,132.3,-17.16
15.1,560,2500,116.4,15.4,41.7,132.4,-15.6
15.1,560,2100,115.0,14.9,35.0,130.5,-14.35
15.1,560,1800,113.6,14.8,30.0,129.3,-13.23
15.1,560,1500,110.5,14.5,25.0,125.9,-11.61
15.1,560,1200,109.1,14.2,20.0,121.8,-10.46
15.1,560,900,107.7,13.8,15.0,118.1,-8.89
15.1,560,700,108.0,13.6,11.7,116.6,-7.91
15.1,560,500,105.1,13.1,8.3,114.0,-5.82
15.1,490,2900,115.0,13.3,48.3,162.3,-14.53
15.1,490,2500,113.6,13.0,41.7,155.0,-13.13
